Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
6/6/19,LUL TICKET MACHINE,LUL TICKET MACHINE,25.49,debit,Entertainment,Chase Credit Card,,
6/6/19,NANDOS JAMES STREET,NANDOS JAMES STREET,13,debit,Restaurants,Chase Credit Card,,
6/6/19,Pret A Manger,PRET A MANGER,6.98,debit,Fast Food,Chase Credit Card,,
6/6/19,Venmo,VENMO PAYMENT~ Future Amount: 41 ~ Tran: ACHDW,41,debit,Transfer,Day to Day Checking,,
6/5/19,T-Mobile,TMOBILE*AUTO PAY 800-937-8997 WA,162.09,debit,Mobile Phone,Wells Fargo Credit Card,,
6/5/19,Pret A Manger,PRET A MANGER,1.97,debit,Fast Food,Chase Credit Card,,
6/5/19,NANDOS JAMES STREET,NANDOS JAMES STREET,9.66,debit,Restaurants,Chase Credit Card,,
6/5/19,Pret A Manger,PRET A MANGER,4.93,debit,Fast Food,Chase Credit Card,,
6/5/19,WASABI WEST ONE,WASABI WEST ONE,9.09,debit,Restaurants,Chase Credit Card,,
6/5/19,Airbnb,AIRBNB * HMAQEEW5ZQ,259.12,credit,Hotel,Chase Credit Card,,
6/4/19,Subway,SUBWAY 43460,9.81,debit,Fast Food,Chase Credit Card,,
6/4/19,Pret A Manger,PRET A MANGER,2.52,debit,Fast Food,Chase Credit Card,,
6/4/19,AKSULAR KEBAB,AKSULAR KEBAB,8.87,debit,Fast Food,Chase Credit Card,,
6/4/19,NATIONAL EXPRESS LIMITED,NATIONAL EXPRESS LIMITED,13.94,debit,Public Transportation,Chase Credit Card,,
6/4/19,Fields,LEON SPITALFIELDS,15.15,debit,Groceries,Chase Credit Card,,
6/4/19,Oscar Insurance PURCHASE,Oscar Insurance PURCHASE,162.09,debit,Financial,Day to Day Checking,,
6/3/19,NEW SOUTHERN RAILW,NEW SOUTHERN RAILW,37.94,debit,Travel,Chase Credit Card,,
6/3/19,Uber.com,UBER BV,8.74,debit,Rental Car & Taxi,Chase Credit Card,,
6/3/19,TFL TRAVEL CH,TFL TRAVEL CH,16.31,debit,Travel,Chase Credit Card,,
6/3/19,WH SMITH,WH SMITH,3.92,debit,Travel,Chase Credit Card,,
6/3/19,EASYJET EX8DS4B,EASYJET     EX8DS4B,100.28,debit,Air Travel,Chase Credit Card,,
6/3/19,Venmo,VENMO PAYMENT~ Future Amount: 1725 ~ Tran: ACHDW,1725,debit,Transfer,Day to Day Checking,,
6/3/19,Venmo Cashout Future,VENMO CASHOUT~ Future Amount: 25 ~ Tran: DDIR,25,credit,Income,Day to Day Checking,,
6/3/19,Venmo,VENMO PAYMENT~ Future Amount: 34.49 ~ Tran: ACHDW,34.49,debit,Transfer,Day to Day Checking,,
6/2/19,CODECADEMY 347-988-2082 NY,CODECADEMY 347-988-2082 NY,21.76,debit,Education,Wells Fargo Credit Card,,
6/2/19,NANOOSH - MADISON AVE,NANOOSH - MADISON AVE,11.38,debit,Restaurants,Chase Credit Card,,
6/2/19,BURGER & LOBSTER FITZR,BURGER & LOBSTER FITZR,43.74,debit,Fast Food,Chase Credit Card,,
6/2/19,TED'S CORNER TAVERN,TED'S CORNER TAVERN,67.24,debit,Restaurants,Chase Credit Card,,
6/2/19,Uber.com,UBER BV,3.79,debit,Rental Car & Taxi,Chase Credit Card,,
6/2/19,Pret A Manger,PRET A MANGER,7.56,debit,Fast Food,Chase Credit Card,,
6/2/19,BOUTS.SITE 17,TERMINAL 1 BOUTS.SITE 17,74,debit,Groceries,Chase Credit Card,,
6/2/19,LUL TICKET MACHINE,LUL TICKET MACHINE,18.97,debit,Entertainment,Chase Credit Card,,
6/2/19,SWAY LONDON,SWAY LONDON,6.51,debit,Restaurants,Chase Credit Card,,
6/2/19,Norwegian,NORWEGIAN AIR SHUTTLE,449.9,debit,Travel,Chase Credit Card,,
6/2/19,SWAY LONDON,SWAY LONDON,17.96,debit,Restaurants,Chase Credit Card,,
6/2/19,THE COCK & LION,THE COCK & LION,13.09,debit,Alcohol & Bars,Chase Credit Card,,
6/2/19,NEW SOUTHERN RAILW,NEW SOUTHERN RAILW,15.3,debit,Travel,Chase Credit Card,,
6/2/19,ANNUAL MEMBERSHIP FEE,ANNUAL MEMBERSHIP FEE,95,debit,Service Fee,Chase Credit Card,,
6/2/19,MTA,MTA*LIRR ETIX TICKET,10.75,debit,Public Transportation,Chase Credit Card,,
6/2/19,SWAY LONDON,SWAY LONDON,8.98,debit,Restaurants,Chase Credit Card,,
6/2/19,Chipotle,CHIPOTLE ONLINE,12.41,debit,Fast Food,Chase Credit Card,,
6/2/19,WRAP IT UP,WRAP IT UP,8.79,debit,Restaurants,Chase Credit Card,,
6/1/19,NYSC-IRVING PLACE 212-477-1800,NYSC-IRVING PLACE 212-477-1800,59.95,debit,Gym,Wells Fargo Credit Card,,
5/31/19,iTunes,APL*ITUNES.COM/BILL 866-712-7753,5.99,debit,Music,Wells Fargo Credit Card,,
5/31/19,Spotify,Spotify USA 877-7781161 NY,9.99,debit,Music,Wells Fargo Credit Card,,
5/31/19,Interest Paid,Interest Paid,0,credit,Fees & Charges,Investor Checking,,
5/31/19,FUEL EXPRESS,FUEL EXPRESS,11.98,debit,Gas & Fuel,Chase Credit Card,,
5/31/19,AMPERSAND,AMPERSAND,30.13,debit,Restaurants,Chase Credit Card,,
5/31/19,THEFLOSSBAR.COM,THEFLOSSBAR.COM,222.13,debit,Gift,Chase Credit Card,,
5/31/19,Fingers,TST* STICKY S FINGER JOIN,8.5,debit,Furnishings,Chase Credit Card,,
5/31/19,CVS,CVS/PHARMACY #07186,15.01,debit,Pharmacy,Chase Credit Card,,
5/31/19,WELLS FARGO CARD CCPYMT,WELLS FARGO CARD CCPYMT,257.14,debit,Credit Card Payment,Day to Day Checking,,
5/31/19,PAYWORKS INC DIRECT DEP~ Future Amount: 2887.22 ~ Tran: DDIR,PAYWORKS INC DIRECT DEP~ Future Amount: 2887.22 ~ Tran: DDIR,2887.22,credit,Paycheck,Day to Day Checking,,
5/31/19,CHASE CREDIT CRD EPAY,CHASE CREDIT CRD EPAY,3000,debit,Credit Card Payment,Day to Day Checking,,
5/31/19,DISCOVER E-PAYMENT,DISCOVER E-PAYMENT,14.14,debit,Credit Card Payment,Day to Day Checking,,
5/31/19,American Express,AMEX EPAYMENT ACH PMT,231.2,debit,Credit Card Payment,Day to Day Checking,,
5/30/19,ONLINE ACH PAYMENT - THANK YOU,ONLINE ACH PAYMENT - THANK YOU,257.14,credit,Credit Card Payment,Wells Fargo Credit Card,,
5/30/19,- THANK YOU 320191500728556738,ONLINE PAYMENT - THANK YOU,231.2,credit,Credit Card Payment,Amex,,
5/30/19,D'Agostino's,AplPay D'AGOSTINO NEW YORK NY,11.68,debit,Groceries,Amex,,
5/30/19,Uber.com,UBER TECHNOLOGIES INC,19.36,debit,Rental Car & Taxi,Chase Credit Card,,
5/30/19,MTA,MTA*METROCARD MACHINE,11,debit,Public Transportation,Chase Credit Card,,
5/30/19,FREEHAND NEW YORK HOTEL,FREEHAND NEW YORK HOTEL,36.49,debit,Alcohol & Bars,Chase Credit Card,,
5/30/19,CONVERSE # 60,CONVERSE # 60,70,debit,Clothing,Chase Credit Card,,
5/30/19,MARLIN CLEANERS,MARLIN CLEANERS,21.25,debit,Laundry,Chase Credit Card,,
5/30/19,Target,TARGET        00033217,11.37,debit,Shopping,Chase Credit Card,,
5/30/19,Payment Thank You-Mobile,Payment Thank You-Mobile,3000,credit,Credit Card Payment,Chase Credit Card,,
5/30/19,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,14.14,credit,Credit Card Payment,Discover,,
5/30/19,Payworks Bill,Payworks Inc. BILL PMT,2553.24,credit,Income,Day to Day Checking,,
5/29/19,HEALTH FOOD STORE 00NEW YORK NY 99999999148 2122289133 320191490707535867,HEALTH FOOD STORE 00NEW YORK NY,10.19,debit,Health & Fitness,Amex,,
5/29/19,PEARL'S,PEARL'S,10,debit,Restaurants,Chase Credit Card,,
5/29/19,W CAFE,W CAFE,13.74,debit,Restaurants,Chase Credit Card,,
5/28/19,Gap,GAP 34TH & BROADWAY - NY NEW YORK NY APPAREL / ACCESSORIES,43.17,debit,Clothing,Gap Credit Card,,
5/28/19,Cava Grill,CAVA GRILL PARK AVE S,11.4,debit,Fast Food,Chase Credit Card,,
5/28/19,Venmo,VENMO PAYMENT,38,debit,Transfer,Day to Day Checking,,
5/27/19,Time Warner,TWC*TIME WARNER NYC 718-358-0900,49.99,debit,Television,Wells Fargo Credit Card,,
5/27/19,Uber.com,UBER TECHNOLOGIES INC,21.99,debit,Rental Car & Taxi,Chase Credit Card,,
5/27/19,TST* MIGHTY QUINN S BARBE,TST* MIGHTY QUINN S BARBE,13.5,debit,Restaurants,Chase Credit Card,,
5/27/19,BT AVANT GARDNER BK,BT AVANT GARDNER BK,41.24,debit,Fast Food,Chase Credit Card,,
5/27/19,TST* TACOMBI -NOLITA,TST* TACOMBI -NOLITA,25.73,debit,Restaurants,Chase Credit Card,,
5/27/19,PICK A BAGEL ON 23RD,SQ *PICK A BAGEL ON 23RD,9.75,debit,Fast Food,Chase Credit Card,,
5/27/19,Internet transfer to Online Savings account,Internet transfer to Online Savings account XXXXXX1686,2000,debit,Transfer,Day to Day Checking,,
5/26/19,Amazon,AMAZON PRIME AMZN.COM/BILLWA3IX42QIFU88,14.14,debit,Shopping,Discover,,
5/26/19,LITTLE BASIL,LITTLE BASIL,64.24,debit,Restaurants,Chase Credit Card,,
5/26/19,BT AVANT GARDNER BK,BT AVANT GARDNER BK,6.44,debit,Fast Food,Chase Credit Card,,
5/26/19,BT AVANT GARDNER BK,BT AVANT GARDNER BK,6.44,debit,Fast Food,Chase Credit Card,,
5/26/19,7-Eleven,7-ELEVEN 34707,3.69,debit,Fast Food,Chase Credit Card,,
5/26/19,BT AVANT GARDNER BK,BT AVANT GARDNER BK,27.06,debit,Fast Food,Chase Credit Card,,
5/26/19,NYCTAXISBV122,NYCTAXISBV122,6.35,debit,Rental Car & Taxi,Chase Credit Card,,
5/26/19,BT AVANT GARDNER BK,BT AVANT GARDNER BK,41.24,debit,Fast Food,Chase Credit Card,,
5/25/19,AplPay HEALTH FOOD SNEW YORK NY 99999999144 2122289133 320191450644964804,AplPay HEALTH FOOD SNEW YORK NY,3.99,debit,Health & Fitness,Amex,,
5/24/19,PRO*ENHANCV-CHARGE.COM,PRO*ENHANCV-CHARGE.COM,4.99,debit,Electronics & Software,Chase Credit Card,,
5/23/19,THE BELFRY,THE BELFRY,70.08,debit,Alcohol & Bars,Chase Credit Card,,
5/23/19,POKETERIA,SQ *POKETERIA,2.18,debit,Restaurants,Chase Credit Card,,
5/22/19,Uber.com,UBER TECHNOLOGIES INC,13.73,debit,Rental Car & Taxi,Chase Credit Card,,
5/22/19,Walgreens,WALGREENS #7675,9.49,debit,Pharmacy,Chase Credit Card,,
5/22/19,The UPS Store,THE UPS STORE #5865,21.27,debit,Business Services,Chase Credit Card,,
5/22/19,Uber.com,UBER TECHNOLOGIES INC,5.44,debit,Rental Car & Taxi,Chase Credit Card,,
5/22/19,TFI*TICKETFLY EVENTS,TFI*TICKETFLY EVENTS,54.33,debit,Entertainment,Chase Credit Card,,
5/21/19,Udemy,UDEMY ONLINE COURSES,51.96,debit,Tuition,Chase Credit Card,,
5/21/19, INST XFER,PAYPAL INST XFER,12.95,debit,Transfer,Day to Day Checking,,
5/20/19,Trader Joe's,AplPay TRADER JOE'S NEW YORK NY,64.36,debit,Groceries,Amex,,
5/20/19,FREEHAND NEW YORK HOTEL,FREEHAND NEW YORK HOTEL,81.68,debit,Alcohol & Bars,Chase Credit Card,,
5/20/19,General Nutrition Centers,GNC #06659,105.48,debit,Groceries,Chase Credit Card,,
5/20/19,Shake Shack,SHAKE SHACK 1122,19.35,debit,Fast Food,Chase Credit Card,,
5/20/19,RP DIET/TRAINING,RP DIET/TRAINING,119,debit,Health & Fitness,Chase Credit Card,,
5/20/19,RP DIET/TRAINING,RP DIET/TRAINING,119,debit,Health & Fitness,Chase Credit Card,,
5/20/19,Uber.com,UBER TECHNOLOGIES INC,19.54,debit,Rental Car & Taxi,Chase Credit Card,,
5/19/19,GrubHub Seamless,SEAMLSSJINKITCHENANDB,18.72,debit,Food & Dining,Chase Credit Card,,
5/19/19,Uber.com,UBER TECHNOLOGIES INC,19.22,debit,Rental Car & Taxi,Chase Credit Card,,
5/19/19,Airbnb,AIRBNB * HMAQEEW5ZQ,876.82,debit,Hotel,Chase Credit Card,,
5/19/19,TAKUMI TACO,SQ *TAKUMI TACO,16,debit,Restaurants,Chase Credit Card,,
5/19/19,MTA,MTA*METROCARD MACHINE,20,debit,Public Transportation,Chase Credit Card,,
5/17/19,TAXI SVC 41-25 36TH ST,TAXI SVC 41-25 36TH ST,13.56,debit,Rental Car & Taxi,Chase Credit Card,,
5/17/19,Venmo Cashout,VENMO CASHOUT,30,credit,Income,Day to Day Checking,,
5/16/19,D'Agostino's,AplPay D'AGOSTINO NEW YORK NY,4.99,debit,Groceries,Amex,,
5/16/19,AplPay HEALTH FOOD SNEW YORK NY 99999999135 2122289133 320191360484097544,AplPay HEALTH FOOD SNEW YORK NY,5.99,debit,Health & Fitness,Amex,,
5/16/19,BETTERMENT SEC TRANSFER,BETTERMENT SEC TRANSFER,310,debit,Transfer,Day to Day Checking,,
5/16/19,WEWORK 855-593-9675 NY US,WEWORK 855-593-9675 NY US,3.63,debit,Fast Food,Day to Day Checking,,
5/16/19,STRIPE TRANSFER,STRIPE TRANSFER,13.67,debit,Transfer,Day to Day Checking,,
5/16/19,KIND REGARDS,KIND REGARDS,64.44,debit,Alcohol & Bars,Chase Credit Card,,
5/16/19,McDonald's,MCDONALD'S F20219,5.43,debit,Fast Food,Chase Credit Card,,
5/16/19,Uber.com,UBER TECHNOLOGIES INC,6.74,debit,Rental Car & Taxi,Chase Credit Card,,
5/16/19,The UPS Store,THE UPS STORE 1492,13.43,debit,Business Services,Chase Credit Card,,
5/16/19,POKETERIA,SQ *POKETERIA,14.7,debit,Restaurants,Chase Credit Card,,
5/15/19,Uber.com,UBER TECHNOLOGIES INC,6.27,debit,Rental Car & Taxi,Chase Credit Card,,
5/15/19,GERMAN IS EASY GBR,GERMAN IS EASY GBR,5,debit,Education,Chase Credit Card,,
5/15/19,PAYWORKS INC DIRECT DEP~ Future Amount: 2887.21 ~ Tran: DDIR,PAYWORKS INC DIRECT DEP~ Future Amount: 2887.21 ~ Tran: DDIR,2887.21,credit,Paycheck,Day to Day Checking,,
5/15/19, TRANSFER,PAYPAL TRANSFER,72.25,credit,Transfer,Day to Day Checking,,
5/14/19,MTA,MTA*METROCARD MACHINE,3,debit,Public Transportation,Chase Credit Card,,
5/14/19,Uber.com,UBER TECHNOLOGIES INC,5.53,debit,Rental Car & Taxi,Chase Credit Card,,
5/13/19,Trader Joe's,AplPay TRADER JOE'S NEW YORK NY,69.85,debit,Groceries,Amex,,
5/13/19,HILL AND DALE,HILL AND DALE,25,debit,Alcohol & Bars,Chase Credit Card,,
5/13/19,HILL AND DALE,HILL AND DALE,53,debit,Alcohol & Bars,Chase Credit Card,,
5/13/19,GrubHub Seamless,SEAMLSSJINKITCHENANDB,18.72,debit,Food & Dining,Chase Credit Card,,
5/13/19,GrubHub Seamless,SEAMLSSJINKITCHENANDB,18.72,debit,Food & Dining,Chase Credit Card,,
5/13/19,FUEL EXPRESS,FUEL EXPRESS,13.89,debit,Gas & Fuel,Chase Credit Card,,
5/12/19,CITI BIKE NYC,CITI BIKE NYC,3.27,debit,Credit Card Payment,Chase Credit Card,,
5/12/19,MARLIN CLEANERS,MARLIN CLEANERS,20,debit,Laundry,Chase Credit Card,,
5/12/19,TST* SUNFLOWER,TST* SUNFLOWER,14.52,debit,Groceries,Chase Credit Card,,
5/12/19,TST* THE NUGGET SPOT,TST* THE NUGGET SPOT,14.5,debit,Restaurants,Chase Credit Card,,
5/12/19,POURING RIBBONS,POURING RIBBONS,81.68,debit,Alcohol & Bars,Chase Credit Card,,
5/11/19,DISHES NEW YORK NY US,DISHES NEW YORK NY US,13.61,debit,Restaurants,Day to Day Checking,,
5/10/19,MTA,MTA*METROCARD MACHINE,11,debit,Public Transportation,Chase Credit Card,,
5/10/19,Airbnb,AIRBNB * HMAQEEW5ZQ,1077.75,debit,Hotel,Chase Credit Card,,
5/10/19,Interest Paid,Interest Paid,0.07,credit,Interest Income,Day to Day Checking,,
5/9/19,LINEN HALL,LINEN HALL,25.78,debit,Alcohol & Bars,Chase Credit Card,,
5/9/19,Norwegian,NORWEGIAN AI3280731147588,394.5,debit,Travel,Chase Credit Card,,
5/9/19,Webster,WEBSTER HALL FOOD AND,13,debit,Business Services,Chase Credit Card,,
5/9/19,Webster,WEBSTER HALL FOOD AND,13,debit,Business Services,Chase Credit Card,,
5/9/19,KFC,KFC J235028,7.61,debit,Fast Food,Chase Credit Card,,
5/9/19,Venmo,VENMO PAYMENT,12,debit,Transfer,Day to Day Checking,,
5/9/19,Venmo,VENMO PAYMENT,10,debit,Transfer,Day to Day Checking,,
5/9/19,WEWORK 855-593-9675 NY US,WEWORK 855-593-9675 NY US,3.63,debit,Fast Food,Day to Day Checking,,
5/8/19,USA*USA*SNACK SODA VEN NEW YORK NY US,USA*USA*SNACK SODA VEN NEW YORK NY US,4.1,debit,Fast Food,Day to Day Checking,,
5/8/19,WWW.PAYWORKS.COM,WWW.PAYWORKS.COM,18.5,debit,Gift,Chase Credit Card,,
5/8/19,MIMI CHENGS DUMPLINGS EAS,MIMI CHENGS DUMPLINGS EAS,14.7,debit,Restaurants,Chase Credit Card,,
5/7/19,THEFLOSSBAR.COM,THEFLOSSBAR.COM,5,debit,Fast Food,Chase Credit Card,,
5/7/19,EASYJET EX47J67,EASYJET     EX47J67,151.21,debit,Air Travel,Chase Credit Card,,
5/6/19,Uber.com,UBER TECHNOLOGIES INC,5,debit,Rental Car & Taxi,Chase Credit Card,,
5/6/19,Uber.com,UBER TECHNOLOGIES INC,12.33,debit,Rental Car & Taxi,Chase Credit Card,,
5/6/19,Uber.com,UBER TECHNOLOGIES INC,9.38,debit,Rental Car & Taxi,Chase Credit Card,,
5/6/19,Shake Shack,SHAKE SHACK 1001,17.5,debit,Fast Food,Chase Credit Card,,
5/6/19,Payworks Inc. BILL payment,Payworks Inc. BILL PMT,66.33,credit,Income,Day to Day Checking,,
5/6/19,GELSO & GRAND NEW YORK NY US,GELSO & GRAND NEW YORK NY US,19.42,debit,Restaurants,Day to Day Checking,,
5/6/19,LA VERA PIZZA. NEW YORK NY US,LA VERA PIZZA. NEW YORK NY US,9.8,debit,Restaurants,Day to Day Checking,,
5/5/19,T-Mobile,TMOBILE*AUTO PAY 800-937-8997 WA,110,debit,Mobile Phone,Wells Fargo Credit Card,,
5/5/19,Uber.com,UBER TECHNOLOGIES INC,13.03,debit,Rental Car & Taxi,Chase Credit Card,,
5/4/19,AplPay HEALTH FOOD SNEW YORK NY 99999999123 2122289133 320191240279239758,AplPay HEALTH FOOD SNEW YORK NY,8.49,debit,Health & Fitness,Amex,,
5/3/19,Uber.com,UBER TECHNOLOGIES INC,4.07,debit,Rental Car & Taxi,Chase Credit Card,,
5/3/19,OUR/NEW YORK VODKA NEW YORK NY US,OUR/NEW YORK VODKA NEW YORK NY US,32.3,debit,Alcohol & Bars,Day to Day Checking,,
5/2/19,iTunes,APL*ITUNES.COM/BILL 866-712-7753,27.21,debit,Music,Wells Fargo Credit Card,,
5/2/19,DSTLD,DSTLD,126.2,debit,Clothing,Chase Credit Card,,
5/2/19,Oscar Insurance PURCHASE,Oscar Insurance PURCHASE,162.09,debit,Health Insurance,Day to Day Checking,,
5/1/19,NYSC-IRVING PLACE 212-477-1800,NYSC-IRVING PLACE 212-477-1800,59.95,debit,Gym,Wells Fargo Credit Card,,
5/1/19,Trader Joe's,AplPay TRADER JOE'S NEW YORK NY,73.53,debit,Groceries,Amex,,
5/1/19,Venmo,VENMO PAYMENT~ Future Amount: 1725 ~ Tran: ACHDW,1725,debit,Transfer,Day to Day Checking,,
5/1/19,NEW YORK ROAD RUNNERS 8555696977 NY US,NEW YORK ROAD RUNNERS 8555696977 NY US,115,debit,Sports,Day to Day Checking,,
5/1/19,Transfer to Amex,AMEX EPAYMENT ACH PMT,330.77,debit,Credit Card Payment,Day to Day Checking,,
5/1/19,RP DIET/TRAINING 7046173325 NC US,RP DIET/TRAINING 7046173325 NC US,87.2,debit,Health & Fitness,Day to Day Checking,,
5/1/19,CHASE CREDIT CRD EPAY,CHASE CREDIT CRD EPAY,109.54,debit,Credit Card Payment,Day to Day Checking,,
4/30/19,Spotify,Spotify USA 877-7781161 NY,9.99,debit,Music,Wells Fargo Credit Card,,
4/30/19,Transfer from Day to Day Checking,ONLINE PAYMENT - THANK YOU,330.77,credit,Credit Card Payment,Amex,,
4/30/19,Interest Paid,Interest Paid,0,credit,Fees & Charges,Investor Checking,,
4/30/19,Uber.com,UBER TECHNOLOGIES INC,36.32,debit,Rental Car & Taxi,Chase Credit Card,,
4/30/19,Payment Thank You-Mobile,Payment Thank You-Mobile,109.54,credit,Credit Card Payment,Chase Credit Card,,
4/30/19,Internet transfer to Online Savings account,Internet transfer to Online Savings account XXXXXX1686,180,debit,Transfer,Day to Day Checking,,
4/30/19,PAYWORKS INC DIRECT DEP~ Future Amount: 2880.59 ~ Tran: DDIR,PAYWORKS INC DIRECT DEP~ Future Amount: 2880.59 ~ Tran: DDIR,2880.59,credit,Paycheck,Day to Day Checking,,
4/29/19,Rosie's New York NY US,Rosie's New York NY US,65.52,debit,Restaurants,Day to Day Checking,,
4/29/19,VENMO CASHOUT,VENMO CASHOUT,110.63,credit,Income,Day to Day Checking,,
4/28/19,3RD AVENUE LIQUOR NEW YORK NY US,3RD AVENUE LIQUOR NEW YORK NY US,11.97,debit,Alcohol & Bars,Day to Day Checking,,
4/28/19,MARLIN CLEANERS,MARLIN CLEANERS,13.75,debit,Laundry,Chase Credit Card,,
4/28/19,CITI BIKE NYC,CITI BIKE NYC,3.27,debit,Credit Card Payment,Chase Credit Card,,
4/28/19,Uber.com,UBER TECHNOLOGIES INC,11.19,debit,Rental Car & Taxi,Chase Credit Card,,
4/28/19,Uber.com,UBER TECHNOLOGIES INC,5.78,debit,Rental Car & Taxi,Chase Credit Card,,
4/26/19,Amazon,AMAZON PRIME AMZN.COM/BILLWA2F3UPQWLDLU,14.14,debit,Shopping,Discover,,
4/26/19,Fandango,FANDANGO,39.2,debit,Movies & DVDs,Chase Credit Card,,
4/26/19,CVS,CVS/PHARMACY #07186 NEW YORK NY US,3.99,debit,Pharmacy,Day to Day Checking,,
4/26/19,Girl Scouts,GIRL SCOUT TROOP 6000 NEW YORK NY US,5,debit,Gifts & Donations,Day to Day Checking,,
4/26/19,Transfer to Discover it Card,DISCOVER E-PAYMENT,64.94,debit,Credit Card Payment,Day to Day Checking,,
4/26/19,CHASE CREDIT CRD EPAY~ Future Amount: 1143.97 ~ Tran: ACHDW,CHASE CREDIT CRD EPAY~ Future Amount: 1143.97 ~ Tran: ACHDW,1143.97,debit,Credit Card Payment,Day to Day Checking,,
4/26/19,Transfer to Wells Fargo Credit Card,WELLS FARGO CARD CCPYMT,250.06,debit,Credit Card Payment,Day to Day Checking,,
4/25/19,Transfer from Day to Day Checking,ONLINE ACH PAYMENT - THANK YOU,250.06,credit,Credit Card Payment,Wells Fargo Credit Card,,
4/25/19,Transfer from Day to Day Checking,INTERNET PAYMENT - THANK YOU,64.94,credit,Credit Card Payment,Discover,,
4/25/19,Payment Thank You-Mobile,Payment Thank You-Mobile,1143.97,credit,Credit Card Payment,Chase Credit Card,,
4/24/19,Trader Joe's,AplPay TRADER JOE'S NEW YORK NY,46,debit,Groceries,Amex,,
4/24/19,My Three Sons,USA*MY THREE SONS VEND NEW YORK NY US,4.1,debit,Food & Dining,Day to Day Checking,,
4/24/19,Time Warner,TWC*TIME WARNER NYC 718-358-0900,49.99,debit,Television,Wells Fargo Credit Card,,
4/23/19,HEALTH FOOD STORE 00NEW YORK NY 99999999112 2122289133 320191130085318438,HEALTH FOOD STORE 00NEW YORK NY,4.99,debit,Health & Fitness,Amex,,
4/23/19,Internet transfer from Online Savings account,Internet transfer from Online Savings account XXXXXX1686,500,credit,Transfer,Day to Day Checking,,
4/23/19,NYC FERRY MOBILE,NYC FERRY MOBILE,2.75,debit,Public Transportation,Chase Credit Card,,
4/23/19,THE BACK ROOM,THE BACK ROOM,36,debit,Alcohol & Bars,Chase Credit Card,,
4/23/19,Uber.com,UBER TECHNOLOGIES INC,10.44,debit,Rental Car & Taxi,Chase Credit Card,,
4/23/19,WEWORK 855-593-9675 NY US,WEWORK 855-593-9675 NY US,3.63,debit,Fast Food,Day to Day Checking,,
4/22/19,SQUARE *POKETERIA New York NY US,SQUARE *SQ *POKETERIA New York NY US,14.7,debit,Restaurants,Day to Day Checking,,
4/22/19,Uber.com,UBER TECHNOLOGIES INC,6.34,debit,Rental Car & Taxi,Chase Credit Card,,
4/22/19,GrubHub Seamless,SEAMLSSJINKITCHENANDB,65.06,debit,Food & Dining,Chase Credit Card,,
4/22/19,VENMO CASHOUT,VENMO CASHOUT,45.57,credit,Income,Day to Day Checking,,
4/21/19,3RD AVE DELI NEW YORK NY US,3RD AVE DELI NEW YORK NY US,13,debit,Restaurants,Day to Day Checking,,
4/21/19,Uber.com,UBER TECHNOLOGIES INC,17.48,debit,Rental Car & Taxi,Chase Credit Card,,
4/21/19,MTA,MTA*METROCARD MACHINE,20,debit,Public Transportation,Chase Credit Card,,
4/20/19,Trader Joe's,AplPay TRADER JOE'S NEW YORK NY,43.46,debit,Groceries,Amex,,
4/20/19,7-Eleven,7-ELEVEN NEW YORK NY US,5,debit,Fast Food,Day to Day Checking,,
4/19/19,Chipotle,CHIPOTLE 1341 NEW YORK NY US,12.41,debit,Fast Food,Day to Day Checking,,
4/19/19,INST XFER,PAYPAL INST XFER,11.99,debit,Transfer,Day to Day Checking,,
4/19/19,Payworks Inc. BILL payment,Payworks Inc. BILL PMT,335.19,credit,Income,Day to Day Checking,,
4/17/19,D'Agostino's,D'AGOSTINO NEW YORK NY,6.79,debit,Groceries,Amex,,
4/17/19,Pret A Manger,PRET A MANGER 037 NEW YORK NY US,3.26,debit,Fast Food,Day to Day Checking,,
4/17/19,DIG INN 52ND STREET,DIG INN 52ND STREET,12.65,debit,Hotel,Chase Credit Card,,
4/17/19,MARLIN CLEANERS,MARLIN CLEANERS,35,debit,Laundry,Chase Credit Card,,
4/17/19,WEWORK 855-593-9675 NY US,WEWORK 855-593-9675 NY US,3.63,debit,Uncategorized,Day to Day Checking,,
4/16/19,Fingers,NYPD FINGERPRINT,50,debit,Furnishings,Chase Credit Card,,
4/16/19,Apex Clearing ACH,Apex Clearing ACH,1000,debit,Transfer,Day to Day Checking,,
4/16/19,BETTERMENT SEC TRANSFER,BETTERMENT SEC TRANSFER,1000,debit,Transfer,Day to Day Checking,,
4/15/19,Internet transfer from Online Savings account,Internet transfer from Online Savings account XXXXXX1686,1000,credit,Transfer,Day to Day Checking,,
4/15/19,MTA,MTA*METROCARD MACHINE,20,debit,Public Transportation,Chase Credit Card,,
4/15/19,THE SMITH LINCOLN CEN,THE SMITH  LINCOLN CEN,112.9,debit,Restaurants,Chase Credit Card,,
4/15/19,New York Road Runners,NEW YORK ROAD RUNNERS,100,debit,Amusement,Chase Credit Card,,
4/15/19,INST XFER,PAYPAL INST XFER,100,debit,Transfer,Day to Day Checking,,
4/15/19,CAFFEBENE KTOWN NEW YORK NY US,CAFFEBENE KTOWN NEW YORK NY US,5.86,debit,Restaurants,Day to Day Checking,,
4/15/19,INST XFER,PAYPAL INST XFER,30,debit,Transfer,Day to Day Checking,,
